"pa","mpc1","mpc2","mpc3"
0,0,0,0
1,1,1,1
11,36.4828726939094,36.4828726939094,36.4828726939094
21,96.2340895940726,96.2340895940726,96.2340895940726
31,172.600695247731,172.600695247731,172.600695247731
41,262.528093734747,262.528093734747,262.528093734747
51,364.212849855685,364.212849855685,364.212849855685
61,476.425230230306,476.425230230306,476.425230230306
71,598.256633895522,598.256633895522,598.256633895522
81,729,729,729
91,868.08467328942,868.08467328942,868.08467328942
101,1015.03743773321,1015.03743773321,1015.03743773321
111,1169.45756656665,1169.45756656665,1169.45756656665
121,1331,1331,1331
131,1499.36353163601,1499.36353163601,1499.36353163601
141,1674.28223427235,1674.28223427235,1674.28223427235
151,1855.51906484412,1855.51906484412,1855.51906484412
161,2042.86098401237,2042.86098401237,2042.86098401237
171,2236.11515803637,2236.11515803637,2236.11515803637
181,2435.10595252034,2435.10595252034,2435.10595252034
191,2639.67251756728,2639.67251756728,2639.67251756728
201,2849.66682263032,2849.66682263032,2849.66682263032
211,3064.95203877646,3064.95203877646,3064.95203877646
221,3285.40119315739,3285.40119315739,3285.40119315739
231,3510.89603947482,3510.89603947482,3510.89603947482
241,3741.32610179867,3741.32610179867,3741.32610179867
251,3976.58785895647,3976.58785895647,3976.58785895647
261,4216.58404398632,4216.58404398632,4216.58404398632
271,4461.22303858482,4461.22303858482,4461.22303858482
281,4710.4183466015,4710.4183466015,4710.4183466015
291,4964.08813378651,4964.08813378651,4964.08813378651
301,5222.15482344214,5222.15482344214,5222.15482344214
311,5484.54473953855,5484.54473953855,5484.54473953855
321,5751.18779036122,5751.18779036122,5751.18779036122
331,6022.01718695654,6022.01718695654,6022.01718695654
341,6296.96919160321,6296.96919160321,6296.96919160321
351,6575.98289231351,6575.98289231351,6575.98289231351
361,6859,6859,6859
371,7145.9646654598,7145.9646654598,7145.9646654598
381,7436.82331375433,7436.82331375433,7436.82331375433
391,7731.52449391451,7731.52449391451,7731.52449391451
401,8030.01874219482,8030.01874219482,8030.01874219482
411,8332.25845734516,8332.25845734516,8332.25845734516
421,8638.19778657562,8638.19778657562,8638.19778657562
431,8947.79252106351,8947.79252106351,8947.79252106351
441,9261,9261,9261
451,9577.77902229948,9577.77902229948,9577.77902229948
461,9898.08976520217,9898.08976520217,9898.08976520217
